,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ttvs_0[2],0.0002784738854481733,0.0005282830137259899,-0.0007020748397908441,0.0012391811820199727,1.9787001447802035e-05,1.3997251937501699e-05,708.505130361048,1481.661849733937,1.0092584940267848
ttvs_0[3],-0.0003539388410453931,0.0005483125125051068,-0.0014050420949233838,0.000616674312532331,2.0239704163675723e-05,1.431732350385478e-05,749.325088110269,1297.973298235484,1.0067204042021836
ttvs_0[4],-0.00031767780194384845,0.0005290440578954996,-0.0012616608956728202,0.0007015660229658452,1.9779676957847683e-05,1.3992049914053054e-05,722.0820919736259,1382.0998011674876,1.0085497116162256
ttvs_0[5],-0.0002809062985020606,0.0005363470123713897,-0.0012678354706799917,0.0007522206926996924,1.8337425393186223e-05,1.2970941157482556e-05,857.614416689755,1383.1143959840826,1.0088525321150703
ttvs_0[6],0.0004898076309115758,0.0005575915310403318,-0.0005455349816910465,0.0015500706810792856,1.7929357223800962e-05,1.2681795298855617e-05,968.0198434307356,1704.9692714829023,1.008169223319699
ttvs_0[7],-0.0007503235869281347,0.0007148284950386363,-0.0020686403388261165,0.0006286839009705652,1.8817046635601603e-05,1.3308351401419551e-05,1433.928495496021,2439.848275797015,1.0026538048670628
ttvs_0[8],6.755873043013034e-05,0.0005929042113200688,-0.0010597033744505118,0.0011563214991925225,1.797968339389841e-05,1.271696756716092e-05,1100.7492539933087,1669.720991073429,1.0097200801301023
ttvs_0[9],0.0004179847463690749,0.0006146984752189475,-0.0007626957073244203,0.001577550019383268,1.9638567823587697e-05,1.4307720289857883e-05,983.2834696031399,1625.2617383801796,1.0091450205453931
b,0.4511210700319152,0.04193610418017297,0.3728099879596481,0.5262824201572517,0.0010691038477041973,0.0007561139299221849,1717.5607542014068,1607.3424906597368,1.0018030448091442
u_star[0],0.43435760866087164,0.07530382985635611,0.2966555487102206,0.5721829456226986,0.0022030396360040766,0.0016193393196909094,1083.5140443170296,832.4793880909994,1.0066429406778965
u_star[1],-0.0777906260013428,0.11459421860899639,-0.2752764348666434,0.13089079651925542,0.0033211223714611285,0.0026866449541271035,1009.2968525378468,560.9277923557424,1.0071114287308578
log_depth,-6.304630625785168,0.07717876334676194,-6.451888594791961,-6.160311092857056,0.0011376991629891528,0.0008045257854247107,4613.189795193172,3784.5872800110947,1.0026210992996247
depth,0.001833284664786368,0.00014219628469902678,0.001572831163036861,0.0021064455536737863,2.1030515953537215e-06,1.4957975654032424e-06,4613.189795193172,3784.5872800110947,1.0025078770410083
ecc,0.35754093284643584,0.06267712627330956,0.2655486417843561,0.47447637429553313,0.004078597030414848,0.003114131491424954,378.64587830210246,79.75548930879722,1.030864265900225
omega,-1.5730686272215937,0.4612382880378879,-2.285139886130139,-0.8231323130898565,0.022509709035783157,0.016153380549916316,296.2649887768725,225.0287892897566,1.0255130054079302
log_jitter,-9.105075157857243,0.06266800782508397,-9.222289690783482,-8.992112059423127,0.0009551055542343019,0.0006767947609413352,4649.703587418123,3058.461537237349,1.00128939138788
sigma_rot,0.856842059445729,0.18709365979398707,0.5257476520919317,1.2032823541374078,0.0031383980865157075,0.0023618530755773397,4368.416349431936,2697.0788959146735,1.0023669008870344
log_prot,0.41874471937769503,0.01641169860709754,0.3872127321664299,0.4488962572078147,0.0003187272846204425,0.0002253990216280864,2626.781711156168,3038.504689685338,1.0030679819299788
log_Q0,16.221869507366886,0.4496314059897419,15.408670605812608,17.106950927163393,0.006894180919341766,0.004889945352489965,4312.081009076897,2760.9572928155835,1.0009721831899483
log_dQ,-0.012324474505678982,1.9703101623000703,-3.658663459787845,3.651392501862264,0.035634501689128024,0.028668633462918935,3060.71944902258,3343.193829399426,1.0015993148572822
f,0.011365456935706364,0.0015537874172854046,0.010000265639985262,0.013946528971114388,2.1123545261528743e-05,1.5192361928490842e-05,4024.273352402259,2451.3370894271493,1.0015346824447624
r_planet,0.6743250569151933,0.004003979346719173,0.6665815713984016,0.6818513942656641,0.00010036474820833816,7.098160374786292e-05,1599.507005797394,1763.1119343511077,1.00286564402394
