# Time, Flux
2.459001221688847989e+06,9.981052648642219083e-01
2.459001242521817796e+06,9.953482354284539646e-01
2.459001263354787137e+06,9.942246723323376889e-01
2.459001284187756944e+06,9.946741452475718059e-01
2.459001305020726286e+06,9.942795602340787076e-01
2.459001325853695627e+06,9.948040644938208610e-01
2.459001346686664969e+06,9.951323191765455434e-01
2.459001367519634310e+06,9.952100919363414677e-01
2.459001388352603186e+06,9.981589012502879443e-01
2.459001409185572062e+06,9.997880766790543383e-01
2.459001430018541403e+06,9.998836686382209793e-01
2.459006804920576978e+06,9.996389475785326661e-01
2.459006825753515121e+06,1.000151630737267761e+00
2.459006846586453728e+06,9.997743827943500472e-01
2.459006867419391870e+06,9.961153602733684442e-01
2.459006888252330478e+06,9.949996612851718103e-01
2.459006909085268155e+06,9.950768477412376134e-01
2.459006929918206297e+06,9.947600977171554559e-01
2.459006950751144439e+06,9.950504480369966043e-01
2.459006971584082115e+06,9.951363276677471781e-01
2.459006992417019792e+06,9.953869625276313693e-01
2.459007013249957468e+06,9.966286294082739028e-01
2.459007034082895145e+06,1.000122028899105953e+00
2.459007054915832821e+06,9.998992364528529464e-01
