# Time, Flux
2.459422159253208898e+06,1.000415421774621505e+00
2.459422160642101429e+06,1.000056434137863715e+00
2.459422162030993961e+06,1.000123657155024715e+00
2.459422163419886492e+06,9.998124394829827066e-01
2.459422164808779024e+06,1.000075047918629556e+00
2.459422166197672021e+06,1.000194081268241053e+00
2.459422167586564552e+06,9.999266119089547100e-01
2.459422168975457083e+06,1.000069712758537399e+00
2.459422170364349615e+06,9.997058535499243614e-01
2.459422171753242146e+06,9.997086969089149511e-01
2.459422173142134678e+06,9.999845871380378393e-01
2.459422174531027209e+06,9.996058989014491303e-01
2.459422175919920206e+06,9.998776455881156489e-01
2.459422177308812737e+06,1.000086667091900638e+00
2.459422178697704803e+06,1.000004386706429882e+00
2.459422180086597800e+06,9.997887267335612282e-01
2.459422181475490332e+06,9.998330680363940459e-01
2.459422182864383329e+06,9.996843871467080422e-01
2.459422184253275394e+06,1.000345980883074137e+00
2.459422185642167926e+06,1.000069006468111477e+00
2.459422187031060923e+06,1.000104102541240270e+00
2.459422188419952989e+06,9.997110502357602346e-01
2.459422189808845520e+06,1.000229180933663864e+00
2.459422191197738517e+06,9.997354874997391727e-01
2.459422192586631048e+06,9.999217506420596813e-01
2.459422193975523580e+06,9.997505516259137526e-01
2.459422195364416111e+06,9.994786955794404681e-01
2.459422196753308643e+06,1.000055248546732001e+00
2.459422198142201174e+06,1.000477659999502000e+00
2.459422199531093705e+06,1.000688354211000330e+00
2.459422200919986237e+06,1.000081686444507900e+00
2.459422202308879234e+06,1.000129228192327524e+00
2.459422203697771300e+06,9.996560705737017605e-01
2.459422205086663831e+06,9.998561957407146039e-01
2.459422206475556828e+06,9.997281589723484574e-01
2.459422207864448894e+06,1.000202132120429965e+00
2.459422209253341425e+06,1.000010551178133866e+00
2.459424199535228312e+06,1.000173080705434980e+00
2.459424200924118981e+06,9.993986638643651554e-01
2.459424202313010115e+06,1.000014542593707256e+00
2.459424203701901250e+06,9.998806792106470498e-01
2.459424205090791453e+06,9.997287567870404290e-01
2.459424206479682587e+06,9.996228312948461925e-01
2.459424207868573721e+06,9.999908799903292067e-01
2.459424209257464856e+06,1.000160226052255297e+00
2.459424210646355525e+06,9.999838461100568621e-01
2.459424212035246659e+06,1.000203207725446353e+00
2.459424213424137328e+06,1.000305497093843421e+00
2.459424214813028462e+06,9.996545053668501879e-01
2.459424216201919131e+06,9.998194437663898704e-01
2.459424217590810265e+06,9.994733508370413633e-01
2.459424218979701400e+06,1.000389828824070904e+00
2.459424220368591603e+06,9.999128414527004294e-01
2.459424221757482737e+06,9.998036813356393493e-01
2.459424223146373872e+06,1.000841598640374253e+00
2.459424224535265006e+06,1.000492018808675443e+00
2.459424225924155209e+06,9.995993143810605330e-01
2.459424227313046344e+06,9.997735716772627734e-01
2.459424228701937478e+06,1.000113747269663067e+00
2.459424230090828147e+06,9.999259547191048370e-01
2.459424231479719281e+06,9.995863122349989416e-01
2.459424232868609950e+06,9.997385164235056410e-01
2.459424234257501084e+06,1.000159479905919468e+00
2.459424235646391753e+06,1.000551771059903006e+00
2.459424237035282888e+06,1.000045071704252386e+00
2.459424238424173556e+06,9.998483301380713950e-01
2.459424239813064225e+06,9.997932455441672639e-01
2.459424241201955359e+06,1.000175457705839488e+00
2.459424242590846494e+06,1.000014725808135330e+00
2.459424243979737163e+06,1.000150952215158151e+00
2.459424245368627831e+06,9.999852744087108780e-01
2.459424246757518966e+06,1.000415959365831498e+00
2.459424248146410100e+06,9.995731900387002655e-01
2.459424249535300303e+06,1.000230545344370281e+00
2.459424250924191438e+06,9.998452894759104481e-01
2.459424252313082572e+06,1.000057055095010972e+00
2.459424253701973706e+06,1.000049423901529844e+00
2.459424255090863910e+06,1.000000000000000000e+00
2.459424256479755044e+06,9.998588221715010160e-01
2.459424257868646178e+06,1.000400202724860632e+00
2.459424259257537313e+06,1.000133862606402246e+00
2.459424260646427516e+06,1.000194801396488087e+00
2.459424262035318650e+06,9.997939291012357677e-01
2.459424263424209785e+06,1.000041500693705565e+00
2.459424264813099988e+06,1.000183176982953448e+00
2.459424266201991122e+06,1.000316087625858108e+00
2.459424267590882257e+06,1.000026107435063816e+00
2.459424268979773391e+06,1.000292695300385004e+00
2.459424270368663594e+06,1.000465310032987221e+00
2.459424271757554729e+06,1.000180456514353944e+00
2.459424273146445863e+06,9.998851669283753685e-01
2.459424274535336066e+06,1.000088550229737416e+00
2.459424275924227200e+06,9.992828971631050328e-01
2.459424277313118335e+06,9.979859591090822768e-01
2.459424278702009004e+06,9.972042698261228688e-01
2.459424280090899672e+06,9.952059063131228900e-01
2.459424281479790807e+06,9.933551770363797662e-01
2.459424282868681476e+06,9.911645538211372175e-01
